"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40130",0,0,2,1,1,2,10,10,14,13,24,16,-2.51210502657927,-0.606963739413666,-5.88714156307499,5.43305889218476e-07,0.00171535649031223,3.63025336698791
"2","GB40782",249,191,352,454,363,405,369,445,416,412,467,336,0.608097367342432,5.60962885159691,5.29969745390004,3.82531327757626e-06,0.00171535649031223,4.27913376109904
"3","GB41213",192,130,200,379,218,238,199,254,257,182,228,162,0.943439538582086,4.95180942776732,5.30750180255305,3.72799645590739e-06,0.00171535649031223,4.30322073356033
"4","GB41809",161,130,159,271,195,169,139,158,152,157,123,105,1.24985915437686,4.353992212835,5.44173239782506,2.39127131750696e-06,0.00171535649031223,4.71498385926565
"5","GB41881",108,77,209,240,163,213,183,185,203,142,213,162,0.741918476652075,4.45917798955941,5.66900397825194,1.12410818867897e-06,0.00171535649031223,5.42091666194679
"6","GB42017",321,248,432,617,468,435,400,404,483,364,434,334,0.935144053754537,5.74938621370313,5.60722561550867,1.38056523454612e-06,0.00171535649031223,5.23245357825335
"7","GB42111",96,101,211,168,188,172,133,149,152,172,171,70,1.07152300349372,4.39261607037213,6.14883870157096,2.26671442985371e-07,0.00171535649031223,6.90073534098209
"8","GB42661",289,171,414,578,357,418,387,432,465,384,431,316,0.728155908851477,5.69265206418616,5.3271155345005,3.49412611018782e-06,0.00171535649031223,4.36387964686814
"9","GB44937",212,108,341,335,322,264,263,220,191,248,205,137,1.22385083440667,5.00194866823898,5.30281677235764,3.78611816635752e-06,0.00171535649031223,4.28873346047351
"10","GB45025",776,731,882,1814,607,1089,480,911,1091,756,1245,704,1.15242594004591,6.81765479168547,5.75960757025325,8.31307990747973e-07,0.00171535649031223,5.67740732046152
"11","GB46986",459,434,628,1281,656,640,581,643,745,550,640,460,1.024939139491,6.3551050244875,5.84229443786484,6.31000605649957e-07,0.00171535649031223,5.95165222924449
"12","GB48645",123,98,209,303,179,194,199,205,243,188,185,162,0.744124396693363,4.69356513646857,5.43823685903521,2.41912835257968e-06,0.00171535649031223,4.70736198322477
"13","GB48859",116,107,221,362,253,268,230,225,296,226,249,186,0.745154746001901,4.82829306260397,5.42790432914809,2.50336954441552e-06,0.00171535649031223,4.67593407771481
"14","GB49485",179,126,196,296,183,231,204,218,244,229,262,193,0.7248267353275,4.80092127479917,5.36697024659836,3.06280563814281e-06,0.00171535649031223,4.48715006655767
"15","GB52259",343,218,479,749,494,452,479,512,662,458,532,396,0.707873998750418,5.92119986572578,5.44867595588049,2.33687736299915e-06,0.00171535649031223,4.73926595869279
"16","GB52577",160,104,199,321,190,220,156,274,193,144,218,167,0.931515165603749,4.65526659948073,5.32940764262478,3.4677633185723e-06,0.00171535649031223,4.37093780655648
"17","GB52754",205,139,263,484,285,320,292,286,373,290,354,277,0.705910095160065,5.26355978709361,5.32288368996802,3.54332222934931e-06,0.00171535649031223,4.3505597331696
"18","GB53118",1,0,4,7,10,5,14,24,55,20,49,50,-2.07797625862687,0.950577810417648,-5.62631284466844,1.29566361832562e-06,0.00171535649031223,3.93781513364414
"19","GB54240",97,152,147,231,120,153,95,101,91,103,93,43,1.66397137361315,3.77850473496659,5.54593603869346,1.69240123763841e-06,0.00171535649031223,5.01130301467152
"20","GB54280",123,98,181,331,120,234,143,172,128,109,163,143,1.15328351104148,4.43572687565942,5.40610595202149,2.69076480550721e-06,0.00171535649031223,4.60534622684866
"21","GB54297",182,127,261,359,241,295,272,293,289,271,296,214,0.688805918690404,5.06065021678037,5.29584133682279,3.87432295948556e-06,0.00171535649031223,4.26689821224689
"22","GB54681",141,103,152,265,144,192,162,195,193,156,184,137,0.82039698082862,4.44616284138022,5.3866433900289,2.86980986694378e-06,0.00171535649031223,4.54664255564627
"23","GB55747",599,374,731,934,729,773,657,805,718,765,763,611,0.846930448616743,6.59461556389925,5.62279201704201,1.31092403081816e-06,0.00171535649031223,5.2678478335333
"24","GB55769",122,56,191,177,158,162,147,152,159,155,151,95,0.888147118350579,4.32611636432713,5.38169952787509,2.91714333375567e-06,0.00171535649031223,4.52790969296158
"25","GB46801",153,120,272,333,235,328,265,283,326,247,283,208,0.662388914445384,5.07744236874547,5.26842501702933,4.24118558920921e-06,0.00173333992580527,4.18217974581391
"26","GB50125",659,471,967,1903,913,881,841,1019,1105,827,1006,825,0.846803692671556,6.94703693948357,5.27707062430862,4.12192639219244e-06,0.00173333992580527,4.1987894989534
"27","GB54484",265,238,331,643,317,310,274,330,402,314,374,299,0.946308279252801,5.39726838149282,5.23529748724475,4.73066105825508e-06,0.00186177794092661,4.07999385056536
"28","GB44491",166,105,267,325,217,316,257,266,311,271,333,197,0.632117844583069,5.02227347274604,5.16328254106325,5.99614013556404e-06,0.00199547075926425,3.85809913317341
"29","GB49028",363,323,701,996,619,725,701,669,665,587,586,467,0.826585616607694,6.30497580007269,5.16261459358047,6.00932282104798e-06,0.00199547075926425,3.85778104829782
"30","GB53663",212,104,314,347,285,310,255,322,307,290,282,215,0.783331333412763,5.19825256251311,5.19490392144246,5.40375830585815e-06,0.00199547075926425,3.955309127929
"31","GB54660",461,312,692,898,651,631,662,731,754,729,670,606,0.684033203889732,6.43668708489257,5.16578643981396,5.94697723056294e-06,0.00199547075926425,3.86707572565936
"32","GB55429",47,26,82,72,68,100,144,191,263,250,314,311,-1.01032038484028,4.0910641248209,-5.16667264451992,5.92967279474064e-06,0.00199547075926425,3.85747829558332
"33","GB44701",27,31,37,39,36,45,22,31,26,37,27,16,1.42855656214812,2.07360292158914,5.14988373425943,6.26613670955583e-06,0.00201769602047698,3.558654419647
"34","GB40423",52,45,73,130,64,74,63,60,54,76,69,38,1.14970689031175,3.09851190953136,5.09997057081502,7.38208797380306e-06,0.00212005585971976,3.60863608775669
"35","GB41137",130,72,147,246,148,196,163,164,188,155,185,150,0.768918866527598,4.38410547748787,5.11169273638524,7.1035215998886e-06,0.00212005585971976,3.70231558452739
"36","GB41173",157,115,252,294,203,243,240,248,249,267,233,189,0.6944299134164,4.89222614158844,5.10374188863259,7.29130695810235e-06,0.00212005585971976,3.67560783738882
"37","GB47097",438,418,757,1208,637,689,641,744,964,754,792,691,0.705677561851656,6.50066640793849,5.10916447993606,7.1627098678627e-06,0.00212005585971976,3.69379238825986
"38","GB47105",132,110,192,223,222,198,191,199,262,210,199,127,0.776255059814638,4.63829321306277,5.06056623037706,8.40008902096383e-06,0.00215082157581201,3.54499838005428
"39","GB49305",116,125,280,249,205,288,196,198,269,277,205,157,0.825156495994153,4.77385274656412,5.06263487957002,8.34335084117318e-06,0.00215082157581201,3.55012253804825
"40","GB51940",859,372,945,1104,1167,1616,2381,2926,3574,4214,6234,6421,-1.11694311352624,7.96230676425492,-5.05691123075786,8.50127105064036e-06,0.00215082157581201,3.50254291221772
"41","GB53090",355,544,499,1277,536,543,487,560,505,441,455,361,1.26987780383775,6.10742351901626,5.06175357765146,8.36747640123322e-06,0.00215082157581201,3.54957926247034
"42","GB55948",77,42,93,104,119,149,199,239,391,328,375,346,-0.769353192718145,4.46203665044345,-5.06002941952735,8.41487471601692e-06,0.00215082157581201,3.54451472442829
"43","GB47192",236,138,410,486,331,394,334,398,364,363,354,342,0.699743389213507,5.53892984701595,5.04613766212873,8.80658088432849e-06,0.0021762494994622,3.49856616549668
"44","GB40984",88,71,160,260,183,184,158,141,194,213,182,134,0.715318559453241,4.38938706914308,5.03900509514778,9.01464689982634e-06,0.00217703722630806,3.48065244701352
"45","GB40491",171,104,209,428,217,315,212,298,336,265,329,270,0.587109692599583,5.04516802690747,5.02758203399217,9.35803830736587e-06,0.00220974477897933,3.44161605280734
"46","GB54854",1304,1018,2195,3191,1442,2309,1701,1708,1630,1769,1466,1437,1.03795271721707,7.81877484274431,5.00563445980252,1.00544863735943e-05,0.00232258635230029,3.35892576362819
"47","GB41632",160,98,205,292,224,255,176,279,334,272,340,241,0.495532024964994,4.89696775610287,4.99751914354762,1.0324770552475e-05,0.00233427684873616,3.35042970687895
"48","GB50032",699,570,1113,1536,867,854,929,966,845,655,857,734,1.02099484554862,6.90794414316418,4.967362297829,1.13935368121377e-05,0.00237387690521127,3.26285210479341
"49","GB50555",921,1187,1282,3471,1141,1376,1099,1344,1454,871,1191,944,1.27499785149482,7.39711565563072,4.98488102063167,1.07600466774772e-05,0.00237387690521127,3.30799527159101
"50","GB53799",1361,935,2535,3414,1548,2438,2014,1892,1857,1898,1665,1489,0.946058404031123,7.90874743788263,4.97365064280895,1.11620171043796e-05,0.00237387690521127,3.26089364533839
"51","GB54691",539,879,717,1959,715,741,572,798,770,517,673,401,1.44214334415937,6.56149726177399,4.96786758272974,1.13747596861644e-05,0.00237387690521127,3.26549986033677
"52","GB44068",245,330,231,408,240,234,195,273,282,229,249,199,1.12719839772594,5.03599742106747,4.92532608286362,1.3067723990018e-05,0.00256743506536491,3.12913980136785
"53","GB45838",851,804,1142,2577,1044,1071,977,1275,1313,886,1112,934,1.01790737714537,7.13738530925122,4.92999635694684,1.28703393474503e-05,0.00256743506536491,3.14708235447024
"54","GB50352",356,459,488,1083,459,528,386,489,614,500,495,402,1.10348943519267,5.89927848334651,4.93219194061077,1.2778564887762e-05,0.00256743506536491,3.15478780843242
"55","GB51719",190,89,307,347,224,326,217,323,289,311,357,245,0.596454002461607,5.11306220567421,4.9201725561533,1.32890013735244e-05,0.00256743506536491,3.11332095319846
"56","GB54973",546,314,1135,1255,717,1131,757,919,786,993,1019,719,0.730710853395414,6.8964872947685,4.91311496306532,1.35980441539474e-05,0.00258022887821152,3.10013668849795
"57","GB40129",17,10,13,16,16,30,43,55,87,87,102,103,-1.3210337639541,2.20230498811703,-4.88748016608525,1.47813933903687e-05,0.00261778476943429,2.83448188555879
"58","GB43102",52,20,59,72,58,52,45,53,64,37,41,36,1.0474113598582,2.79980334663611,4.88871023240747,1.4722359026492e-05,0.00261778476943429,2.94555031447365
"59","GB51625",138,120,196,227,157,216,199,178,106,145,130,105,1.19043481567673,4.3948275235502,4.89020124578976,1.46511128349501e-05,0.00261778476943429,3.02939785088617
"60","GB55893",210,156,298,433,267,310,300,299,332,320,349,234,0.724705736257851,5.24367390546261,4.88768284112291,1.47716503988573e-05,0.00261778476943429,3.01404826266791
"61","GB42972",85,48,137,180,120,114,98,100,123,110,129,143,0.800824037752879,3.97235548286798,4.85334810976181,1.65159248040514e-05,0.0026921922297135,2.92052039619652
"62","GB43456",15,8,22,24,19,87,77,130,235,166,383,201,-1.94316192151092,3.03848730032512,-4.84953601984735,1.67216908677857e-05,0.0026921922297135,2.83152518508931
"63","GB48414",234,174,302,576,274,299,278,328,440,281,326,287,0.754349227580319,5.30469050997735,4.86409031675471,1.59494254961626e-05,0.0026921922297135,2.9423823503367
"64","GB53008",12,8,27,14,41,51,74,107,199,177,174,242,-1.79695690074456,2.76967063542221,-4.86754991240591,1.57710931279997e-05,0.0026921922297135,2.86642622377552
"65","GB55038",81,74,127,189,95,118,92,121,113,100,111,78,1.00075279960298,3.82569478846897,4.85786658129615,1.62752617000627e-05,0.0026921922297135,2.93306330031098
"66","GB55426",228,76,342,344,384,480,967,1283,2251,2090,2931,3869,-1.84619156115715,6.50860754330819,-4.86038706225086,1.61425215629942e-05,0.0026921922297135,2.94118282508234
"67","GB53359",467,255,547,872,563,666,592,628,553,545,649,626,0.710033447408748,6.27593880940651,4.84432836123343,1.70068759620887e-05,0.00269723976079335,2.89086287317134
"68","GB53726",383,280,667,1075,538,680,553,645,852,681,788,492,0.692491164179533,6.38568345769011,4.83872839618046,1.73188961423932e-05,0.00270633221189809,2.87490230883573
"69","GB48333",209,141,273,495,252,281,259,323,302,195,243,188,0.957939197664161,5.12047043056389,4.82236967296837,1.82630557178168e-05,0.00281251058054378,2.81567601781772
"70","GB54050",175,114,277,307,274,270,281,266,261,259,271,256,0.69215253958107,5.07236083537997,4.81580754808573,1.86558933016533e-05,0.00283196460319097,2.79638084189518
"71","GB48835",254,305,294,471,226,249,230,322,265,214,234,171,1.21621272179904,5.14944785153304,4.80050396266748,1.96046757741165e-05,0.00293407443346143,2.74987714629447
"72","GB45635",243,279,390,828,308,352,349,392,445,348,401,254,0.943475652153289,5.57858841306351,4.78236378952669,2.07910320462374e-05,0.00300334577008002,2.69627745127454
"73","GB48400",74,72,90,176,83,94,68,74,95,46,68,66,1.37233336322151,3.49995961001823,4.78052075938336,2.09154514385396e-05,0.00300334577008002,2.69305373342555
"74","GB54672",218,88,213,414,265,337,269,325,246,254,285,209,0.773852528731738,5.11651359608403,4.7887851985594,2.03632035065776e-05,0.00300334577008002,2.71446670522972
"75","GB45122",189,149,204,335,192,264,185,236,201,211,188,112,1.18558927323507,4.7885584150164,4.77324634848567,2.14137325133789e-05,0.00300812664075994,2.67150438273588
"76","GB52624",13,7,16,10,8,15,33,26,64,50,74,57,-1.18130255220825,1.71163895672166,-4.76774911639793,2.17980191359416e-05,0.00300812664075994,2.37422541257666
"77","GB53032",369,525,524,842,593,395,373,519,527,403,362,191,1.4463287818735,5.99372970346026,4.77161420035009,2.15271268388367e-05,0.00300812664075994,2.66756850323591
"78","GB40456",317,209,547,874,491,537,522,536,707,505,560,444,0.660263275335893,6.01325467652574,4.72767506821467,2.48121736483324e-05,0.00301476323233846,2.53736647188739
"79","GB40939",792,658,1464,1807,1258,1478,1356,1264,1161,1149,1131,1097,0.884647267245336,7.36448717600517,4.73330059403446,2.43655209042295e-05,0.00301476323233846,2.56169098877228
"80","GB41153",69,59,134,143,131,155,112,117,136,122,134,66,0.919669660548234,4.09174413636578,4.7222480402752,2.52506990097988e-05,0.00301476323233846,2.52996143466252
"81","GB41303",97,70,207,371,100,221,172,177,162,91,174,125,0.989703279387953,4.37316404803433,4.74960875046973,2.31149409654836e-05,0.00301476323233846,2.60656116072991
"82","GB42109",205,127,340,430,340,466,328,418,355,363,400,328,0.606165695554796,5.55143454497976,4.72348543806501,2.51500459273164e-05,0.00301476323233846,2.51797856379395
"83","GB42863",293,293,277,587,357,372,336,401,369,319,351,276,0.976720169977152,5.5143391310079,4.73382716919257,2.43241194563638e-05,0.00301476323233846,2.54917799070951
"84","GB45522",136,181,215,418,234,218,254,280,207,192,180,161,0.946608633927714,4.79396497515292,4.74786608434056,2.32455015485075e-05,0.00301476323233846,2.59228850344777
"85","GB45549",241,200,307,531,297,353,362,348,362,310,349,296,0.777700884432267,5.41621834480059,4.72843455983576,2.4751404635943e-05,0.00301476323233846,2.53225512829225
"86","GB50920",181,145,321,418,227,266,260,336,318,288,302,212,0.70155198286807,5.20145270828215,4.72766873889866,2.48126806907383e-05,0.00301476323233846,2.52929426486176
"87","GB51534",187,92,254,350,183,312,275,279,282,210,292,210,0.656514713135477,5.09508570752374,4.74423181552296,2.35201211966851e-05,0.00301476323233846,2.58022405324195
